地域ブロック,都道府県,市町村立病院名,自治体名,病院メールアドレス,自治体病院担当メールアドレス,備考
北海道,北海道,公立芽室病院,芽室町,byouin@memuro.net,なし,病院事務局総務係
北海道,北海道,鹿追町国民健康保険病院,鹿追町,なし,なし,
北海道,北海道,士幌町国民健康保険病院,士幌町,なし,なし,
北海道,北海道,池田町立病院(十勝いけだ地域医療センター),池田町,なし,なし,指定管理(地域医療振興協会)
北海道,北海道,本別町国民健康保険病院,本別町,byouink@town.honbetsu.hokkaido.jp,soumuk@town.honbetsu.hokkaido.jp,病院総務担当/自治体側=役場総務課(いずれも要最終確認)
北海道,北海道,足寄町国民健康保険病院,足寄町,なし,なし,
北海道,北海道,大樹町立国民健康保険病院,大樹町,jimu-kyoku_byoin@town.taiki.hokkaido.jp,なし,病院事務局(全角@表示のため要確認)
北海道,北海道,広尾町国民健康保険病院,広尾町,なし,なし,地方独立行政法人
北海道,北海道,美幌町立国民健康保険病院,美幌町,byouin@town.bihoro.hokkaido.jp,なし,病院事務局(町ドメイン)
北海道,北海道,興部町国民健康保険病院,興部町,hospital@town.okoppe.lg.jp,なし,病院お問い合わせ用(町ドメイン)
北海道,北海道,雄武町国民健康保険病院,雄武町,なし,なし,
北海道,北海道,上富良野町立病院,上富良野町,なし,なし,
北海道,北海道,町立下川病院,下川町,なし,なし,自治体側=保健福祉課所管
北海道,北海道,枝幸町国民健康保険病院,枝幸町,なし,なし,
北海道,北海道,中頓別町国民健康保険病院,中頓別町,naka.hp@town.nakatombetsu.lg.jp,なし,病院事務(ドメイン要確認)
北海道,北海道,浜頓別町国民健康保険病院,浜頓別町,syomu@mail.town.hamatonbetsu.hokkaido.jp,なし,病院事務(事務長宛/要確認)
北海道,北海道,利尻島国保中央病院,利尻町・利尻富士町(一部事務組合),なし,なし,利尻島国民健康保険病院組合立
東北,青森県,八戸市立市民病院,八戸市,なし,なし,市民病院事務局/フォーム運用
東北,青森県,青森市民病院,青森市,なし,なし,事務局総務課/フォーム運用
東北,青森県,青森市立浪岡病院,青森市,なし,なし,
東北,青森県,むつ総合病院,むつ市・大間町・東通村・風間浦村・佐井村(下北医療センター/一部事務組合),なし,なし,下北医療センター運営
東北,青森県,黒石市国民健康保険黒石病院,黒石市,なし,なし,事務局
東北,青森県,国民健康保険五戸総合病院,五戸町,sogobyoin_kanri@town.gonohe.aomori.jp,sogobyoin_kanri@town.gonohe.aomori.jp,病院管理部門(町直営で病院=自治体窓口同一)
東北,青森県,三戸町国民健康保険三戸中央病院,三戸町,なし,なし,事務局
東北,青森県,国民健康保険板柳中央病院,板柳町,なし,なし,町運営
東北,青森県,国民健康保険おいらせ病院,おいらせ町,なし,なし,町運営
東北,青森県,国民健康保険南部町医療センター,南部町,なし,なし,町運営
東北,青森県,平内町国民健康保険平内中央病院,平内町,なし,なし,事務局
東北,青森県,外ヶ浜町国民健康保険外ヶ浜中央病院,外ヶ浜町,なし,なし,町運営
東北,青森県,国民健康保険大間病院,大間町,なし,なし,町運営
東北,青森県,つがる総合病院,つがる西北五広域連合(五所川原市・つがる市・鰺ヶ沢町・深浦町・鶴田町・中泊町),なし,なし,広域連合病院運営局
東北,青森県,鰺ヶ沢病院,つがる西北五広域連合,なし,なし,広域連合病院運営局
東北,青森県,かなぎ病院,つがる西北五広域連合,なし,なし,広域連合病院運営局
東北,岩手県,盛岡市立病院,盛岡市,なし,なし,事務局総務課/フォーム運用
東北,岩手県,八幡平市立病院,八幡平市,byoin@city.hachimantai.lg.jp,byoin@city.hachimantai.lg.jp,市直営(病院=自治体窓口同一)
東北,岩手県,奥州市総合水沢病院,奥州市,kenkoukanri@city.oshu.iwate.jp,なし,健診センター(健康管理課)
東北,岩手県,奥州市国民健康保険まごころ病院,奥州市,なし,なし,奥州市医療局経営管理課所管
東北,岩手県,一関市国民健康保険藤沢病院,一関市,soumu@fmhe.net,なし,病院総務課
東北,岩手県,町立西和賀さわうち病院,西和賀町,なし,なし,
東北,岩手県,洋野町国民健康保険種市病院,洋野町,なし,なし,
東北,宮城県,石巻市立病院,石巻市,なし,なし,事務部病院経営課所管
東北,宮城県,気仙沼市立病院,気仙沼市,hs-somu@kesennuma.miyagi.jp,hs-somu@kesennuma.miyagi.jp,病院事業局総務課(病院=自治体窓口同一)
東北,宮城県,大崎市民病院,大崎市,kikaku@h-osaki.jp,kikaku@h-osaki.jp,経営企画課(病院事業直営)
東北,宮城県,登米市立登米市民病院,登米市,iryoshimin-kanri@city.tome.miyagi.jp,iryo-kanri@city.tome.miyagi.jp,病院=事務局管理課/所管=登米市医療局
東北,宮城県,登米市立米谷病院(登米市民病院米谷分院),登米市,iryomaiya@city.tome.miyagi.jp,iryo-kanri@city.tome.miyagi.jp,分院/所管=登米市医療局
東北,宮城県,登米市立豊里病院(登米市民病院豊里分院),登米市,なし,iryo-kanri@city.tome.miyagi.jp,分院/所管=登米市医療局
東北,宮城県,涌谷町国民健康保険病院(町民医療福祉センター),涌谷町,gr-kanri@town.wakuya.miyagi.jp,gr-kanri@town.wakuya.miyagi.jp,事業部総務管理課(町直営)
東北,宮城県,南三陸病院,南三陸町,なし,なし,旧公立志津川病院/フォーム運用
東北,宮城県,公立加美病院,加美町・色麻町(加美郡保健医療福祉行政事務組合),soumu@kamihp.jp,soumu@kamihp.jp,組合事務局(病院=組合窓口同一)
東北,宮城県,公立黒川病院,大和町・大郷町・富谷市・大衡村(黒川地域行政事務組合),kurokawa-soumu@jadecom.jp,なし,指定管理(地域医療振興協会)
東北,宮城県,公立刈田綜合病院,白石市・蔵王町・七ヶ宿町(刈田病院組合),なし,なし,指定管理(仁誠会)
東北,宮城県,仙台市立病院,仙台市,なし,なし,地方独立行政法人運営(開設=仙台市/境界事例)
東北,秋田県,市立秋田総合病院,秋田市,ro-homn@akita-city-hospital.jp,なし,地方独法化(開設=秋田市)
東北,秋田県,大館市立総合病院,大館市,jinji@odate-hp.odate.akita.jp,なし,人事課
東北,秋田県,大館市立扇田病院,大館市,なし,なし,
東北,秋田県,男鹿みなと市民病院,男鹿市,なし,なし,
東北,秋田県,市立横手病院,横手市,なし,なし,フォーム運用
東北,秋田県,市立大森病院,横手市,oomorihp@oomorihp.jp,なし,総務課
東北,秋田県,市立大曲病院,大仙市,なし,なし,
東北,秋田県,市立角館総合病院,仙北市,なし,iryoukanri@city.semboku.akita.jp,仙北市医療局所管
東北,秋田県,市立田沢湖病院,仙北市,なし,iryoukanri@city.semboku.akita.jp,仙北市医療局所管
東北,秋田県,羽後町立羽後病院,羽後町,なし,なし,
東北,山形県,山形市立病院済生館,山形市,なし,なし,地域医療連携室renkeisitu@saiseikan.jpは連携専用
東北,山形県,米沢市立病院,米沢市,bsoumu-ka@city.yonezawa.yamagata.jp,なし,病院総務課(市ドメイン)
東北,山形県,鶴岡市立荘内病院,鶴岡市,なし,なし,フォーム運用
東北,山形県,寒河江市立病院,寒河江市,なし,なし,
東北,山形県,天童市民病院,天童市,tenbyou@topaz.plala.or.jp,なし,病院お問い合わせ用
東北,山形県,西川町立病院,西川町,なし,なし,
東北,山形県,朝日町立病院,朝日町,なし,なし,
東北,山形県,最上町立最上病院,最上町,なし,なし,
東北,山形県,町立真室川病院,真室川町,なし,なし,
東北,山形県,小国町立病院,小国町,toiawase@ogunibyoin.jp,なし,病院お問い合わせ用
東北,山形県,白鷹町立病院,白鷹町,なし,なし,
東北,山形県,公立高畠病院,高畠町,581@town.takahata.yamagata.jp,なし,病院総務課(町ドメイン)
東北,山形県,北村山公立病院,北村山公立病院組合(東根市・村山市・尾花沢市・大石田町),soumu@hosp-kitamurayama.jp,なし,経営管理課総務係
東北,山形県,公立置賜総合病院,置賜広域病院企業団(長井市・南陽市・川西町・飯豊町),なし,なし,
東北,山形県,公立置賜長井病院,置賜広域病院企業団,なし,なし,
東北,山形県,公立置賜南陽病院,置賜広域病院企業団,なし,なし,
東北,福島県,いわき市医療センター,いわき市,なし,なし,病院局直営/mendan@は予約専用
東北,福島県,南相馬市立総合病院,南相馬市,sogo-hp-jimu@city.minamisoma.lg.jp,sogo-hp-keiei@city.minamisoma.lg.jp,病院事務部/経営管理課経営企画係
東北,福島県,たむら市民病院,田村市,なし,hoken@city.tamura.lg.jp,指定管理(星総合病院)/田村市保健課所管
東北,福島県,三春町立三春病院,三春町,なし,hokeniryo@town.miharu.fukushima.jp,指定管理(星総合病院)/三春町保健福祉課所管
東北,福島県,猪苗代町立猪苗代病院,猪苗代町,なし,なし,指定管理(温知会)/保健福祉課所管
東北,福島県,国民健康保険泉崎村立病院,泉崎村,なし,なし,村直営
東北,福島県,公立藤田総合病院,公立藤田病院組合(国見町・伊達市),なし,なし,一部事務組合立/フォーム運用
東北,福島県,公立小野町地方綜合病院,公立小野町地方綜合病院企業団,なし,なし,企業団立
東北,福島県,公立岩瀬病院,公立岩瀬病院企業団(須賀川市ほか),なし,なし,企業団立
関東,茨城県,北茨城市民病院,北茨城市,なし,なし,病院総務課/フォーム運用
関東,茨城県,笠間市立病院,笠間市,byoin@city.kasama.lg.jp,byoin@city.kasama.lg.jp,病院事務局(市直営/病院=自治体窓口同一)
関東,茨城県,さくらがわ地域医療センター,桜川市,なし,なし,指定管理(隆仁会)/桜川市健康推進課所管
関東,茨城県,村立東海病院,東海村,なし,fukushi@vill.tokai.ibaraki.jp,指定管理(地域医療振興協会)/東海村福祉部地域福祉課
関東,栃木県,公立那須南病院,那須烏山市・那珂川町(南那須地区広域行政事務組合),なし,なし,一部事務組合立/フォーム運用
関東,群馬県,公立富岡総合病院,富岡市・甘楽町・下仁田町・南牧村(富岡地域医療企業団),なし,なし,企業団立
関東,群馬県,公立七日市病院,富岡市・甘楽町・下仁田町・南牧村(富岡地域医療企業団),なし,なし,企業団立
関東,群馬県,公立藤岡総合病院,藤岡市・上野村・神流町ほか(多野藤岡医療事務市町村組合),なし,なし,一部事務組合立
関東,群馬県,公立碓氷病院,安中市,なし,なし,市立(病院事業)/フォーム運用
関東,群馬県,公立館林厚生病院,館林市・板倉町・明和町・千代田町・大泉町・邑楽町(邑楽館林医療企業団),なし,なし,企業団立(JA厚生連ではない)
関東,群馬県,桐生厚生総合病院,桐生市・みどり市(桐生地域医療組合),なし,なし,一部事務組合立
関東,群馬県,西吾妻福祉病院,長野原町・草津町・嬬恋村・中之条町(西吾妻福祉病院組合),なし,なし,一部事務組合立/公設民営(地域医療振興協会)
関東,埼玉県,さいたま市立病院,さいたま市,なし,なし,病院総務課/フォーム運用
関東,埼玉県,川口市立医療センター,川口市,なし,なし,市直営/フォーム運用
関東,埼玉県,越谷市立病院,越谷市,なし,なし,フォーム運用
関東,埼玉県,草加市立病院,草加市,なし,なし,フォーム運用
関東,埼玉県,春日部市立医療センター,春日部市,somu-hos@city.kasukabe.lg.jp,なし,病院総務課
関東,埼玉県,蕨市立病院,蕨市,なし,なし,市立病院庶務課/フォーム運用
関東,埼玉県,東松山市立市民病院,東松山市,なし,なし,フォーム運用
関東,埼玉県,秩父市立病院,秩父市,なし,なし,フォーム運用
関東,埼玉県,国民健康保険町立小鹿野中央病院,小鹿野町,なし,なし,国保直営
関東,千葉県,松戸市立総合医療センター,松戸市,mchsoumu2@city.matsudo.chiba.jp,mchsoumu2@city.matsudo.chiba.jp,病院事業管理局総務課(市直営/同一)
関東,千葉県,銚子市立病院,銚子市,shomu@choshi-ik.or.jp,なし,指定管理(銚子市医療公社)/事務部総務課
関東,千葉県,国保直営総合病院君津中央病院,木更津市・君津市・富津市・袖ケ浦市(君津中央病院企業団),なし,なし,企業団立
関東,千葉県,国保匝瑳市民病院,匝瑳市,なし,なし,
関東,千葉県,大網白里市立国保大網病院,大網白里市,なし,なし,
関東,千葉県,横芝光町立東陽病院,横芝光町,なし,なし,
関東,千葉県,東庄町国民健康保険東庄病院,東庄町,なし,なし,
関東,千葉県,鴨川市立国保病院,鴨川市,なし,なし,
関東,千葉県,鋸南町国民健康保険鋸南病院,鋸南町,なし,なし,指定管理(鋸南きさらぎ会)
関東,千葉県,南房総市立富山国保病院,南房総市,なし,なし,
関東,千葉県,国保多古中央病院,多古町,なし,なし,
関東,東京都,町田市民病院,町田市,なし,なし,事務部総務課/フォーム運用
関東,東京都,市立青梅総合医療センター,青梅市,なし,なし,事務局総務課/フォーム運用
関東,東京都,稲城市立病院,稲城市,なし,なし,管理課/フォーム運用
関東,東京都,日野市立病院,日野市,なし,なし,総務課/フォーム運用
関東,東京都,公立福生病院,福生市・羽村市・瑞穂町(福生病院企業団),なし,なし,企業団立
関東,東京都,公立阿伎留医療センター,あきる野市・日の出町・檜原村(阿伎留病院企業団),jinji@akiru-med.jp,なし,人事・採用担当(用途限定)
関東,東京都,公立昭和病院,小金井市・小平市・東村山市・東久留米市・清瀬市・東大和市・西東京市(昭和病院企業団),keiyaku@showa-hp.jp,なし,事務局総務課契約担当(用途限定)
関東,東京都,町立八丈病院,八丈町,なし,なし,国保直営(島しょ)/八丈町企業課所管
関東,東京都,台東区立台東病院,台東区,なし,なし,指定管理(地域医療振興協会)/健康課病院担当
関東,神奈川県,横浜市立市民病院,横浜市,by-sh-somu@city.yokohama.lg.jp,by-keiei@city.yokohama.lg.jp,病院総務課/医療局病院経営課
関東,神奈川県,横浜市立脳卒中・神経脊椎センター,横浜市,by-no-somu@city.yokohama.lg.jp,by-keiei@city.yokohama.lg.jp,病院総務課/医療局病院経営課
関東,神奈川県,川崎市立川崎病院,川崎市,83kawsyo@city.kawasaki.jp,83keiki@city.kawasaki.jp,事務局庶務課/病院局経営企画室
関東,神奈川県,川崎市立井田病院,川崎市,83idasyo@city.kawasaki.jp,83keiki@city.kawasaki.jp,事務局庶務課/病院局経営企画室
関東,神奈川県,川崎市立多摩病院,川崎市,なし,83keiki@city.kawasaki.jp,指定管理(聖マリアンナ医大)/病院局経営企画室
関東,神奈川県,平塚市民病院,平塚市,なし,なし,フォーム運用
関東,神奈川県,藤沢市民病院,藤沢市,なし,なし,フォーム運用
関東,神奈川県,小田原市立総合医療センター,小田原市,なし,なし,病院管理局/フォーム運用
関東,神奈川県,茅ヶ崎市立病院,茅ヶ崎市,なし,なし,フォーム運用
関東,神奈川県,三浦市立病院,三浦市,byouin0101@city.miura.kanagawa.jp,byouin0101@city.miura.kanagawa.jp,事務局総務課(市直営/同一)
関東,神奈川県,厚木市立病院,厚木市,なし,なし,フォーム運用
関東,神奈川県,大和市立病院,大和市,なし,なし,フォーム運用
関東,神奈川県,横須賀市立市民病院,横須賀市,なし,byoin-kensetsu@city.yokosuka.kanagawa.jp,指定管理(地域医療振興協会)/市立病院課※建設担当のみ
関東,神奈川県,横須賀市立総合医療センター(旧うわまち病院),横須賀市,なし,byoin-kensetsu@city.yokosuka.kanagawa.jp,指定管理(地域医療振興協会)/市立病院課※建設担当のみ
中部,新潟県,あがの市民病院,阿賀野市,syomu@aganocity-hp.com,なし,公設民営(指定管理:JA新潟厚生連)/総務課※ドメイン要確認
中部,新潟県,南魚沼市民病院,南魚沼市,なし,なし,
中部,新潟県,国民健康保険魚沼市立小出病院,魚沼市,なし,なし,運営=魚沼市医療公社
中部,新潟県,町立津南病院,津南町,なし,なし,
中部,新潟県,町立湯沢病院(湯沢町保健医療センター),湯沢町,なし,なし,指定管理(地域医療振興協会)
中部,新潟県,見附市立病院,見附市,なし,なし,
中部,富山県,富山市立富山市民病院,富山市,jimukyoku@tch.toyama.toyama.jp,jimukyoku@tch.toyama.toyama.jp,病院事業局事務局(市直営/同一)
中部,富山県,富山市立富山まちなか病院,富山市,なし,jimukyoku@tch.toyama.toyama.jp,富山市病院事業局所管
中部,富山県,高岡市民病院,高岡市,hospitaljim@city.takaoka.lg.jp,hospitaljim@city.takaoka.lg.jp,総務課/事務局(市直営/同一)
中部,富山県,黒部市民病院,黒部市,somu2@med.kurobe.toyama.jp,なし,総務課臨床研修係
中部,富山県,射水市民病院,射水市,なし,なし,
中部,富山県,市立砺波総合病院,砺波市,tgh-somu@city.tonami.toyama.jp,tgh-somu@city.tonami.toyama.jp,事務局総務(市直営/同一)
中部,富山県,南砺市民病院,南砺市,なし,なし,
中部,富山県,公立南砺中央病院,南砺市,なし,なし,
中部,富山県,かみいち総合病院,上市町,kanri@kamiichi-hosp.jp,なし,管理部門
中部,富山県,あさひ総合病院,朝日町,なし,なし,
中部,富山県,金沢医科大学氷見市民病院,氷見市,kh-soumu@kanazawa-med.ac.jp,なし,指定管理(金沢医大)/総務課
中部,石川県,金沢市立病院,金沢市,なし,なし,
中部,石川県,国民健康保険小松市民病院,小松市,cbsomu@city.komatsu.lg.jp,cbsomu@city.komatsu.lg.jp,総務課(市直営/同一)
中部,石川県,加賀市医療センター,加賀市,kikakukeiei@city.kaga.lg.jp,kikakukeiei@city.kaga.lg.jp,企画経営課(市直営/同一)
中部,石川県,国民健康保険能美市立病院,能美市,なし,なし,
中部,石川県,公立松任石川中央病院,白山市・野々市市・川北町(白山石川医療企業団),なし,なし,企業団立
中部,石川県,公立つるぎ病院,白山市・野々市市・川北町(白山石川医療企業団),info@tsurugihp.jp,info@tsurugihp.jp,企業団立/代表メール
中部,石川県,公立河北中央病院,津幡町,なし,なし,国保直営
中部,石川県,公立能登総合病院,七尾市,syomu@noto-hospital.jp,syomu@noto-hospital.jp,経営管理部総務課(市直営/同一)
中部,石川県,公立羽咋病院,羽咋郡市広域圏事務組合,suishin@hakuihp.jp,suishin@hakuihp.jp,一部事務組合立/医療サービス推進室
中部,石川県,町立富来病院,志賀町,なし,なし,
中部,石川県,町立宝達志水病院,宝達志水町,hospital@town.hodatsushimizu.lg.jp,hospital@town.hodatsushimizu.lg.jp,事務局(町直営/同一)
中部,石川県,国民健康保険志雄病院,宝達志水町,なし,なし,介護療養中心
中部,石川県,珠洲市総合病院,珠洲市,なし,なし,
中部,石川県,市立輪島病院,輪島市,なし,なし,
中部,石川県,公立穴水総合病院,穴水町,なし,なし,
中部,石川県,公立宇出津総合病院,能登町,ushitsu-hospital@noto119.com,なし,病院代表メール
中部,福井県,市立敦賀病院,敦賀市,なし,なし,
中部,福井県,坂井市立三国病院,坂井市,byouin@city.fukui-sakai.lg.jp,byouin@city.fukui-sakai.lg.jp,三国病院事務局(市直営/同一)
中部,福井県,越前町国民健康保険織田病院,越前町,なし,なし,指定管理(地域医療振興協会)
中部,福井県,杉田玄白記念公立小浜病院,小浜市・若狭町ほか(公立小浜病院組合),なし,なし,一部事務組合立
中部,福井県,レイクヒルズ美方病院,公立小浜病院組合(小浜市・若狭町ほか),なし,なし,一部事務組合立
中部,福井県,公立丹南病院,鯖江市・越前市・池田町・南越前町・越前町(公立丹南病院組合),なし,なし,一部事務組合立/指定管理(地域医療振興協会)
中部,山梨県,市立甲府病院,甲府市,なし,なし,
中部,山梨県,富士吉田市立病院,富士吉田市,なし,なし,
中部,山梨県,韮崎市立病院,韮崎市,なし,なし,
中部,山梨県,都留市立病院,都留市,なし,なし,
中部,山梨県,上野原市立病院,上野原市,なし,なし,指定管理(地域医療振興協会)
中部,山梨県,北杜市立塩川病院,北杜市,なし,なし,
中部,山梨県,北杜市立甲陽病院,北杜市,なし,なし,
中部,山梨県,峡南医療センター市川三郷病院,市川三郷町・富士川町(峡南医療センター企業団),なし,なし,企業団立
中部,山梨県,峡南医療センター富士川病院,市川三郷町・富士川町(峡南医療センター企業団),なし,なし,企業団立
中部,山梨県,飯富病院,身延町・早川町(国保病院一部事務組合),なし,なし,一部事務組合立
中部,長野県,飯田市立病院,飯田市,jinji@imh.jp,なし,事務局庶務課人事係
中部,長野県,岡谷市民病院,岡谷市,なし,なし,
中部,長野県,市立大町総合病院,大町市,hospital@hsp.city.omachi.nagano.jp,hospital@hsp.city.omachi.nagano.jp,事務部総務課(市直営/同一)
中部,長野県,伊那中央病院,伊那市・箕輪町・南箕輪村(伊那中央行政組合),shokuin@inahp.jp,shokuin@inahp.jp,一部事務組合立/総務課
中部,長野県,町立辰野病院,辰野町,なし,なし,
中部,長野県,信濃町立信越病院,信濃町,なし,なし,
中部,長野県,国民健康保険依田窪病院,長和町・上田市(依田窪医療福祉事務組合),なし,なし,一部事務組合立
中部,長野県,軽井沢町国民健康保険軽井沢病院,軽井沢町,byouin@town.karuizawa.nagano.jp,byouin@town.karuizawa.nagano.jp,町直営/同一
中部,岐阜県,岐阜市民病院,岐阜市,なし,なし,
中部,岐阜県,大垣市民病院,大垣市,なし,なし,
中部,岐阜県,中津川市民病院,中津川市,なし,なし,
中部,岐阜県,羽島市民病院,羽島市,なし,なし,
中部,岐阜県,美濃市立美濃病院,美濃市,なし,なし,
中部,岐阜県,郡上市民病院,郡上市,なし,なし,
中部,岐阜県,市立恵那病院,恵那市,なし,なし,指定管理(地域医療振興協会)
中部,岐阜県,国民健康保険飛騨市民病院,飛騨市,なし,なし,
中部,岐阜県,下呂市立金山病院,下呂市,hosp-kanayama@city.gero.lg.jp,hosp-kanayama@city.gero.lg.jp,市直営/同一
中部,静岡県,富士市立中央病院,富士市,ch-soumu@div.city.fuji.shizuoka.jp,ch-soumu@div.city.fuji.shizuoka.jp,病院総務課(市直営/同一)
中部,静岡県,磐田市立総合病院,磐田市,byoin-keiei@city.iwata.lg.jp,byoin-keiei@city.iwata.lg.jp,病院経営企画課(市直営/同一)
中部,静岡県,市立御前崎総合病院,御前崎市,byokanri@city.omaezaki.shizuoka.jp,byokanri@city.omaezaki.shizuoka.jp,病院管理課総務係(市直営/同一)
中部,静岡県,中東遠総合医療センター,掛川市・袋井市(掛川市・袋井市病院企業団),なし,なし,企業団立
中部,静岡県,焼津市立総合病院,焼津市,なし,なし,地方公営企業/フォーム運用
中部,静岡県,富士宮市立病院,富士宮市,なし,なし,
中部,静岡県,公立森町病院,森町,なし,なし,
中部,静岡県,下田メディカルセンター,下田市ほか賀茂郡(一部事務組合),なし,なし,一部事務組合立/指定管理(医療法人)
中部,静岡県,共立蒲原総合病院,富士市・静岡市・富士宮市(共立蒲原総合病院組合),なし,なし,一部事務組合立
中部,静岡県,榛原総合病院,牧之原市・吉田町(榛原総合病院組合),なし,なし,一部事務組合立/指定管理(徳洲会)
中部,静岡県,浜松医療センター,浜松市,iryocenter@hmedc.or.jp,なし,指定管理(浜松市医療公社)/総務課
中部,愛知県,豊橋市民病院,豊橋市,なし,なし,
中部,愛知県,豊川市民病院,豊川市,なし,なし,
中部,愛知県,一宮市立市民病院,一宮市,なし,なし,病院事業部所管
中部,愛知県,一宮市立木曽川市民病院,一宮市,なし,なし,病院事業部所管
中部,愛知県,春日井市民病院,春日井市,なし,なし,
中部,愛知県,半田市立半田病院,半田市,byouin@city.handa.lg.jp,byouin@city.handa.lg.jp,管理課総務担当(市直営/同一)
中部,愛知県,西尾市民病院,西尾市,なし,なし,
中部,愛知県,蒲郡市民病院,蒲郡市,hospital@city.gamagori.lg.jp,なし,病院代表メール
中部,愛知県,稲沢市民病院,稲沢市,なし,なし,
中部,愛知県,新城市民病院,新城市,byouin@city.shinshiro.lg.jp,byouin@city.shinshiro.lg.jp,市直営/同一(医事課byouin-4@)
中部,愛知県,みよし市民病院,みよし市,hospital@city.aichi-miyoshi.lg.jp,hospital@city.aichi-miyoshi.lg.jp,管理課(市直営/同一)
中部,愛知県,公立陶生病院,瀬戸市・尾張旭市・長久手市(公立陶生病院組合),なし,なし,一部事務組合立
中部,愛知県,公立西知多総合病院,東海市・知多市(西知多医療厚生組合),なし,なし,一部事務組合立
中部,三重県,市立四日市病院,四日市市,byouinsoumu@city.yokkaichi.mie.jp,なし,総務課(病院)
中部,三重県,市立伊勢総合病院,伊勢市,なし,なし,健診専用hos-kensin@city.ise.mie.jpのみ
中部,三重県,松阪市民病院,松阪市,なし,なし,臨床研修専用のみ/2026.4指定管理(済生会)移行
中部,三重県,伊賀市立上野総合市民病院,伊賀市,なし,なし,
中部,三重県,尾鷲総合病院,尾鷲市,なし,なし,
中部,三重県,紀南病院,熊野市・御浜町・紀宝町(紀南病院組合),soumuka@kinan-hp-mie.jp,なし,一部事務組合立/総務課
近畿,滋賀県,市立長浜病院,長浜市,nch-soumu@city.nagahama.lg.jp,なし,事務局総務
近畿,滋賀県,長浜市立湖北病院,長浜市,なし,なし,
近畿,滋賀県,近江八幡市立総合医療センター,近江八幡市,030202@city.omihachiman.lg.jp,030202@city.omihachiman.lg.jp,総務課総務人事G(要再確認)
