学校名,所在市町村,地域ブロック,公式サイトURL
北海道沼田高等学校,雨竜郡沼田町,空知,https://www.numata.hokkaido-c.ed.jp/
北海道栗山高等学校,夕張郡栗山町,空知,https://www.kuriyama.hokkaido-c.ed.jp/
北海道長沼高等学校,夕張郡長沼町,空知,https://www.naganuma.hokkaido-c.ed.jp/
北海道由仁高等学校,夕張郡由仁町,空知,https://www.yuni.hokkaido-c.ed.jp/
北海道浦臼高等学校,樺戸郡浦臼町,空知,https://www.urausu.hokkaido-c.ed.jp/
北海道小樽潮陵高等学校,小樽市,後志,https://www.otaruchoryou.hokkaido-c.ed.jp/
北海道小樽桜陽高等学校,小樽市,後志,https://www.otarukouyo.hokkaido-c.ed.jp/
北海道小樽水産高等学校,小樽市,後志,https://www.otarusuisan.hokkaido-c.ed.jp/
北海道小樽未来創造高等学校,小樽市,後志,https://www.otarumiraiso.hokkaido-c.ed.jp/
北海道余市紅志高等学校,余市郡余市町,後志,https://www.yoichikoshi.hokkaido-c.ed.jp/
北海道岩内高等学校,岩内郡岩内町,後志,https://www.iwanai.hokkaido-c.ed.jp/
北海道寿都高等学校,寿都郡寿都町,後志,https://www.suttu.hokkaido-c.ed.jp/
北海道黒松内高等学校,寿都郡黒松内町,後志,https://www.kuromatsunai.hokkaido-c.ed.jp/
北海道蘭越高等学校,磯谷郡蘭越町,後志,https://www.rankoshi.hokkaido-c.ed.jp/
北海道ニセコ高等学校,虻田郡ニセコ町,後志,https://www.niseko.hokkaido-c.ed.jp/
北海道倶知安高等学校,虻田郡倶知安町,後志,https://www.kutchan.hokkaido-c.ed.jp/
北海道共和高等学校,岩内郡共和町,後志,https://www.kyouwa.hokkaido-c.ed.jp/
北海道真狩高等学校,虻田郡真狩村,後志,https://www.makari.hokkaido-c.ed.jp/
北海道室蘭栄高等学校,室蘭市,胆振,https://www.muroran-sakae.hokkaido-c.ed.jp/
北海道室蘭清水丘高等学校,室蘭市,胆振,https://www.muroran-shimizugaoka.hokkaido-c.ed.jp/
北海道室蘭工業高等学校,室蘭市,胆振,https://www.muroran-kogyo.hokkaido-c.ed.jp/
北海道登別明日中等教育学校,登別市,胆振,https://www.noboribetsuasu.hokkaido-c.ed.jp/
北海道登別青嶺高等学校,登別市,胆振,https://www.noboribetsusei.hokkaido-c.ed.jp/
北海道伊達高等学校,伊達市,胆振,https://www.date.hokkaido-c.ed.jp/
北海道伊達緑丘高等学校,伊達市,胆振,https://www.date-midoriga.hokkaido-c.ed.jp/
北海道苫小牧東高等学校,苫小牧市,胆振,https://www.tomakoma-higashi.hokkaido-c.ed.jp/
北海道苫小牧西高等学校,苫小牧市,胆振,https://www.tomakomanishi.hokkaido-c.ed.jp/
北海道苫小牧工業高等学校,苫小牧市,胆振,https://www.tomakoma-kogyo.hokkaido-c.ed.jp/
北海道苫小牧総合経済高等学校,苫小牧市,胆振,https://www.tomakoma-sogo.hokkaido-c.ed.jp/
北海道苫小牧高等学校,苫小牧市,胆振,https://www.tomakomai.hokkaido-c.ed.jp/
北海道白老東高等学校,白老郡白老町,胆振,https://www.shiraoi-higashi.hokkaido-c.ed.jp/
北海道虻田高等学校,虻田郡洞爺湖町,胆振,https://www.abuta.hokkaido-c.ed.jp/
北海道豊浦高等学校,虻田郡豊浦町,胆振,https://www.toyoura.hokkaido-c.ed.jp/
北海道壮瞥高等学校,有珠郡壮瞥町,胆振,https://www.sobetsu.hokkaido-c.ed.jp/
北海道厚真高等学校,勇払郡厚真町,胆振,https://www.atsuma.hokkaido-c.ed.jp/
北海道鵡川高等学校,勇払郡むかわ町,胆振,https://www.mukawa.hokkaido-c.ed.jp/
北海道追分高等学校,勇払郡安平町,胆振,https://www.oiwake.hokkaido-c.ed.jp/
北海道浦河高等学校,浦河郡浦河町,日高,https://www.urakawa.hokkaido-c.ed.jp/
北海道浦河商業高等学校,浦河郡浦河町,日高,https://www.urakawashogyo.hokkaido-c.ed.jp/
北海道静内高等学校,日高郡新ひだか町,日高,https://www.shizunai.hokkaido-c.ed.jp/
北海道三石高等学校,日高郡新ひだか町,日高,https://www.mitsuishi.hokkaido-c.ed.jp/
北海道日高高等学校,沙流郡日高町,日高,https://hokkaido-hidaka-hs.ed.jp/
北海道富川高等学校,沙流郡平取町,日高,https://www.tomikawa.hokkaido-c.ed.jp/
北海道様似高等学校,様似郡様似町,日高,https://www.samani.hokkaido-c.ed.jp/
北海道えりも高等学校,幌泉郡えりも町,日高,https://www.erimo.hokkaido-c.ed.jp/
北海道新冠高等学校,新冠郡新冠町,日高,https://www.niikappu.hokkaido-c.ed.jp/
北海道函館中部高等学校,函館市,渡島,https://www.hakodate-chuo.hokkaido-c.ed.jp/
北海道函館西高等学校,函館市,渡島,https://www.hakodatenishi.hokkaido-c.ed.jp/
北海道函館商業高等学校,函館市,渡島,https://www.hakodateshogyo.hokkaido-c.ed.jp/
北海道函館工業高等学校,函館市,渡島,https://www.kanko.hokkaido-c.ed.jp/
北海道函館水産高等学校,北斗市,渡島,https://www.hakodatesuisan.hokkaido-c.ed.jp/
北海道函館稜北高等学校,函館市,渡島,https://www.hakodateryouhoku.hokkaido-c.ed.jp/
北海道七飯高等学校,亀田郡七飯町,渡島,https://www.nanae.hokkaido-c.ed.jp/
北海道上磯高等学校,北斗市,渡島,https://www.kamiiso.hokkaido-c.ed.jp/
北海道大野農業高等学校,北斗市,渡島,https://www.ohnonogyo.hokkaido-c.ed.jp/
北海道長万部高等学校,山越郡長万部町,渡島,https://www.oshamanbe.hokkaido-c.ed.jp/
北海道八雲高等学校,二海郡八雲町,渡島,https://www.yakumo.hokkaido-c.ed.jp/
北海道森高等学校,茅部郡森町,渡島,https://www.mori.hokkaido-c.ed.jp/
北海道砂原高等学校,茅部郡森町,渡島,https://www.sunabara.hokkaido-c.ed.jp/
北海道南茅部高等学校,函館市,渡島,https://www.minami-kayabe.hokkaido-c.ed.jp/
北海道松前高等学校,松前郡松前町,渡島,https://www.matsumae.hokkaido-c.ed.jp/
北海道福島商業高等学校,松前郡福島町,渡島,https://www.fukushimashogyo.hokkaido-c.ed.jp/
北海道木古内高等学校,上磯郡木古内町,渡島,https://www.kikonai.hokkaido-c.ed.jp/
北海道知内高等学校,上磯郡知内町,渡島,https://www.shiriuchi.hokkaido-c.ed.jp/
北海道鹿部高等学校,茅部郡鹿部町,渡島,https://www.shikabe.hokkaido-c.ed.jp/
北海道江差高等学校,檜山郡江差町,檜山,https://www.esashi.hokkaido-c.ed.jp/
北海道上ノ国高等学校,檜山郡上ノ国町,檜山,https://www.kaminokuni.hokkaido-c.ed.jp/
北海道厚沢部高等学校,檜山郡厚沢部町,檜山,https://www.assabu.hokkaido-c.ed.jp/
北海道乙部高等学校,爾志郡乙部町,檜山,https://www.otobe.hokkaido-c.ed.jp/
北海道奥尻高等学校,奥尻郡奥尻町,檜山,https://www.okushiri.hokkaido-c.ed.jp/
北海道檜山北高等学校,久遠郡せたな町,檜山,https://www.hiyamakita.hokkaido-c.ed.jp/
北海道今金高等学校,瀬棚郡今金町,檜山,https://www.imagane.hokkaido-c.ed.jp/
北海道旭川東高等学校,旭川市,上川,https://www.asahikawa-higashi.hokkaido-c.ed.jp/
北海道旭川西高等学校,旭川市,上川,https://www.asahikawa-nishi.hokkaido-c.ed.jp/
北海道旭川北高等学校,旭川市,上川,https://www.asahikawa-kita.hokkaido-c.ed.jp/
北海道旭川南高等学校,旭川市,上川,https://www.asahikawa-minami.hokkaido-c.ed.jp/
北海道旭川商業高等学校,旭川市,上川,https://www.asahikawashogyo.hokkaido-c.ed.jp/
北海道旭川工業高等学校,旭川市,上川,https://www.asahikawa-kogyo.hokkaido-c.ed.jp/
北海道旭川農業高等学校,旭川市,上川,https://www.asahikawanog.hokkaido-c.ed.jp/
北海道旭川永嶺高等学校,旭川市,上川,https://www.asahikawanagamine.hokkaido-c.ed.jp/
北海道鷹栖高等学校,上川郡鷹栖町,上川,https://www.takasu.hokkaido-c.ed.jp/
北海道東川高等学校,上川郡東川町,上川,https://www.higashikawa.hokkaido-c.ed.jp/
北海道富良野高等学校,富良野市,上川,https://www.furano.hokkaido-c.ed.jp/
北海道富良野緑峰高等学校,富良野市,上川,https://www.furanoryokuho.hokkaido-c.ed.jp/
北海道美瑛高等学校,上川郡美瑛町,上川,https://www.biei.hokkaido-c.ed.jp/
北海道士別翔雲高等学校,士別市,上川,https://www.shimbetsu-shoun.hokkaido-c.ed.jp/
北海道名寄高等学校,名寄市,上川,https://www.nayoro.hokkaido-c.ed.jp/
北海道名寄産業高等学校,名寄市,上川,https://www.nayoro-sangyo.hokkaido-c.ed.jp/
北海道和寒高等学校,上川郡和寒町,上川,https://www.wassamu.hokkaido-c.ed.jp/
北海道剣淵高等学校,上川郡剣淵町,上川,https://www.kembuchi.hokkaido-c.ed.jp/
北海道上川高等学校,上川郡上川町,上川,https://www.kamikawa.hokkaido-c.ed.jp/
北海道下川商業高等学校,上川郡下川町,上川,https://www.shimokawashogyo.hokkaido-c.ed.jp/
北海道美深高等学校,中川郡美深町,上川,https://www.bifuka.hokkaido-c.ed.jp/
北海道音威子府高等学校,中川郡音威子府村,上川,https://www.otoineppu.hokkaido-c.ed.jp/
北海道中川高等学校,中川郡中川町,上川,https://www.nakagawa.hokkaido-c.ed.jp/
北海道幌加内高等学校,雨竜郡幌加内町,上川,https://www.horokanai.hokkaido-c.ed.jp/
北海道愛別高等学校,上川郡愛別町,上川,https://www.aibetsu.hokkaido-c.ed.jp/
北海道留萌高等学校,留萌市,留萌,https://www.rumoi.hokkaido-c.ed.jp/
北海道留萌千望高等学校,留萌市,留萌,https://www.rumoisenbou.hokkaido-c.ed.jp/
北海道羽幌高等学校,苫前郡羽幌町,留萌,https://www.haboro.hokkaido-c.ed.jp/
北海道苫前商業高等学校,苫前郡苫前町,留萌,https://www.tomamaeshogyo.hokkaido-c.ed.jp/
北海道増毛高等学校,増毛郡増毛町,留萌,https://www.mashike.hokkaido-c.ed.jp/
北海道遠別農業高等学校,天塩郡遠別町,留萌,https://www.enbetsu-nogyo.hokkaido-c.ed.jp/
北海道稚内高等学校,稚内市,宗谷,https://www.chikou.hokkaido-c.ed.jp/
北海道稚内南高等学校,稚内市,宗谷,https://www.wakkanaMinami.hokkaido-c.ed.jp/
北海道枝幸高等学校,枝幸郡枝幸町,宗谷,https://www.esashi-soya.hokkaido-c.ed.jp/
北海道浜頓別高等学校,枝幸郡浜頓別町,宗谷,https://www.hamatombetsu.hokkaido-c.ed.jp/
北海道中頓別高等学校,枝幸郡中頓別町,宗谷,https://www.nakatombetsu.hokkaido-c.ed.jp/
北海道豊富高等学校,天塩郡豊富町,宗谷,https://www.toyotomi.hokkaido-c.ed.jp/
北海道幌延高等学校,天塩郡幌延町,宗谷,https://www.horonobe.hokkaido-c.ed.jp/
北海道天塩高等学校,天塩郡天塩町,宗谷,https://www.teshio.hokkaido-c.ed.jp/
北海道利尻高等学校,利尻郡利尻富士町,宗谷,https://www.rishiri.hokkaido-c.ed.jp/
北海道礼文高等学校,礼文郡礼文町,宗谷,https://www.rebun.hokkaido-c.ed.jp/
北海道網走南ケ丘高等学校,網走市,オホーツク,https://www.abashiri-minagaoka.hokkaido-c.ed.jp/
北海道網走桂陽高等学校,網走市,オホーツク,https://www.abashiri-keiyo.hokkaido-c.ed.jp/
北海道紋別高等学校,紋別市,オホーツク,https://www.mombetsu.hokkaido-c.ed.jp/
北海道北見北斗高等学校,北見市,オホーツク,https://www.kitami-hokuto.hokkaido-c.ed.jp/
北海道北見柏陽高等学校,北見市,オホーツク,https://www.kitami-kakuyo.hokkaido-c.ed.jp/
北海道北見工業高等学校,北見市,オホーツク,https://www.kitami-kogyo.hokkaido-c.ed.jp/
北海道北見緑陵高等学校,北見市,オホーツク,https://www.kitami-ryokuryo.hokkaido-c.ed.jp/
北海道遠軽高等学校,紋別郡遠軽町,オホーツク,https://www.engaru.hokkaido-c.ed.jp/
北海道遠軽緑陽高等学校,紋別郡遠軽町,オホーツク,https://www.engaru-ryokuyo.hokkaido-c.ed.jp/
北海道湧別高等学校,紋別郡湧別町,オホーツク,https://www.yubetsu.hokkaido-c.ed.jp/
北海道佐呂間高等学校,常呂郡佐呂間町,オホーツク,https://www.saroma.hokkaido-c.ed.jp/
北海道斜里高等学校,斜里郡斜里町,オホーツク,https://www.shari.hokkaido-c.ed.jp/
北海道清里高等学校,斜里郡清里町,オホーツク,https://www.kiyosato.hokkaido-c.ed.jp/
北海道小清水高等学校,斜里郡小清水町,オホーツク,https://www.koshimizu.hokkaido-c.ed.jp/
北海道津別高等学校,網走郡津別町,オホーツク,https://www.tsubetsu.hokkaido-c.ed.jp/
北海道美幌高等学校,網走郡美幌町,オホーツク,https://www.bihoro.hokkaido-c.ed.jp/
北海道訓子府高等学校,常呂郡訓子府町,オホーツク,https://www.kunneppu.hokkaido-c.ed.jp/
北海道置戸高等学校,常呂郡置戸町,オホーツク,https://www.oketo.hokkaido-c.ed.jp/
北海道留辺蘂高等学校,北見市,オホーツク,https://www.rubeshibe.hokkaido-c.ed.jp/
北海道生田原高等学校,紋別郡遠軽町,オホーツク,https://www.ikutahara.hokkaido-c.ed.jp/
北海道興部高等学校,紋別郡興部町,オホーツク,https://www.okoppe.hokkaido-c.ed.jp/
北海道雄武高等学校,紋別郡雄武町,オホーツク,https://www.oumu.hokkaido-c.ed.jp/
北海道常呂高等学校,北見市,オホーツク,https://www.tokoro.hokkaido-c.ed.jp/
北海道帯広柏葉高等学校,帯広市,十勝,https://www.obihiro-hakuyo.hokkaido-c.ed.jp/
北海道帯広三条高等学校,帯広市,十勝,https://www.obihirosaijo.hokkaido-c.ed.jp/
北海道帯広緑陽高等学校,帯広市,十勝,https://www.obihiro-ryokuyo.hokkaido-c.ed.jp/
北海道帯広工業高等学校,帯広市,十勝,https://www.obi-kogyo.hokkaido-c.ed.jp/
北海道帯広農業高等学校,帯広市,十勝,https://www.obi-nogyo.hokkaido-c.ed.jp/
北海道帯広南商業高等学校,帯広市,十勝,https://www.obihiro-minami-shogyo.hokkaido-c.ed.jp/
北海道芽室高等学校,河西郡芽室町,十勝,https://www.memuro.hokkaido-c.ed.jp/
北海道音更高等学校,河東郡音更町,十勝,https://www.otofuke.hokkaido-c.ed.jp/
北海道幕別清陵高等学校,中川郡幕別町,十勝,https://www.makubetsu-seiry.hokkaido-c.ed.jp/
北海道池田高等学校,中川郡池田町,十勝,https://www.ikeda.hokkaido-c.ed.jp/
北海道本別高等学校,中川郡本別町,十勝,https://www.honbetsu.hokkaido-c.ed.jp/
北海道足寄高等学校,足寄郡足寄町,十勝,https://www.ashoro.hokkaido-c.ed.jp/
北海道清水高等学校,上川郡清水町,十勝,https://www.shimizu-tokachi.hokkaido-c.ed.jp/
北海道鹿追高等学校,河東郡鹿追町,十勝,https://www.shikao.hokkaido-c.ed.jp/
北海道新得高等学校,上川郡新得町,十勝,https://www.shintoku.hokkaido-c.ed.jp/
北海道更別農業高等学校,河西郡更別村,十勝,https://www.sarabetsunog.hokkaido-c.ed.jp/
北海道広尾高等学校,広尾郡広尾町,十勝,https://www.hiroo.hokkaido-c.ed.jp/
北海道大樹高等学校,広尾郡大樹町,十勝,https://www.taiki.hokkaido-c.ed.jp/
北海道浦幌高等学校,十勝郡浦幌町,十勝,https://www.urahoro.hokkaido-c.ed.jp/
北海道陸別高等学校,足寄郡陸別町,十勝,https://www.rikubetsu.hokkaido-c.ed.jp/
北海道中札内農業高等学校,河西郡中札内村,十勝,https://www.nakasatsunai-nogyo.hokkaido-c.ed.jp/
北海道釧路湖陵高等学校,釧路市,釧路,https://www.kushiro-koryo.hokkaido-c.ed.jp/
北海道釧路江南高等学校,釧路市,釧路,https://www.kushiro-konan.hokkaido-c.ed.jp/
北海道釧路明輝高等学校,釧路市,釧路,https://www.kushiro-meiki.hokkaido-c.ed.jp/
北海道釧路商業高等学校,釧路市,釧路,https://www.kushiro-shogyo.hokkaido-c.ed.jp/
北海道釧路工業高等学校,釧路市,釧路,https://www.kushiro-kogyo.hokkaido-c.ed.jp/
北海道釧路東高等学校,釧路郡釧路町,釧路,https://www.kushirohigashi.hokkaido-c.ed.jp/
北海道白糠高等学校,白糠郡白糠町,釧路,https://www.shiranuka.hokkaido-c.ed.jp/
北海道標茶高等学校,川上郡標茶町,釧路,https://www.shibecha.hokkaido-c.ed.jp/
北海道弟子屈高等学校,川上郡弟子屈町,釧路,https://www.teshikaga.hokkaido-c.ed.jp/
北海道厚岸翔洋高等学校,厚岸郡厚岸町,釧路,https://www.akkeshi.hokkaido-c.ed.jp/
北海道阿寒高等学校,釧路市,釧路,https://www.akan.hokkaido-c.ed.jp/
北海道鶴居高等学校,阿寒郡鶴居村,釧路,https://www.tsurui.hokkaido-c.ed.jp/
北海道浜中高等学校,厚岸郡浜中町,根室,https://www.hamanaka.hokkaido-c.ed.jp/
北海道根室高等学校,根室市,根室,https://www.nemuro.hokkaido-c.ed.jp/
北海道根室西高等学校,根室市,根室,https://www.nemuro-nishi.hokkaido-c.ed.jp/
北海道中標津高等学校,標津郡中標津町,根室,https://www.nakashibetsu.hokkaido-c.ed.jp/
北海道別海高等学校,野付郡別海町,根室,https://www.bekkai.hokkaido-c.ed.jp/
北海道標津高等学校,標津郡標津町,根室,https://www.shibetsu.hokkaido-c.ed.jp/
北海道羅臼高等学校,目梨郡羅臼町,根室,https://www.rausu.hokkaido-c.ed.jp/
北海道計根別農業高等学校,標津郡中標津町,根室,https://www.kenebetsunog.hokkaido-c.ed.jp/
