都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
宮城県,県立,宮城県泉高等学校,仙台市泉区,仙台,https://izumihigh.myswan.ed.jp/,izumihigh@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県泉松陵高等学校,仙台市泉区,仙台,https://shoryo.myswan.ed.jp/,shoryo@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県泉館山高等学校,仙台市泉区,仙台,https://izumit-h.myswan.ed.jp/,izumit-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県工業高等学校,仙台市青葉区,仙台,https://miyagi-th.myswan.ed.jp/,miyagi-th@od.myswan.ed.jp,,全日制工業科
宮城県,県立,宮城県第二工業高等学校,仙台市宮城野区,仙台,https://m2k.myswan.ed.jp/,m2k@od.myswan.ed.jp,,全日制工業科・定時制
宮城県,県立,宮城県農業高等学校,仙台市青葉区,仙台,https://miyanou.myswan.ed.jp/,miyanou@od.myswan.ed.jp,,全日制農業科
宮城県,県立,宮城県富谷高等学校,富谷市,仙台,https://tomiya-h.myswan.ed.jp/,tomiya-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県美田園高等学校,名取市,仙台,https://mitazono.myswan.ed.jp/,mitazono@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県名取高等学校,名取市,仙台,https://natori-h.myswan.ed.jp/,natori-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県名取高等学校定時制課程,名取市,仙台,https://natori-2h.myswan.ed.jp/,natori-2h@od.myswan.ed.jp,,定時制
宮城県,県立,宮城県名取北高等学校,名取市,仙台,https://natorikita.myswan.ed.jp/,natorikita@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県水産高等学校,塩竈市,仙台,https://miyagisuisan.myswan.ed.jp/,miyagisuisan@od.myswan.ed.jp,,全日制水産科
宮城県,県立,宮城県塩釜高等学校,塩竈市,仙台,https://shioko.myswan.ed.jp/,shioko@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県多賀城高等学校,多賀城市,仙台,https://tagajo-hs.myswan.ed.jp/,tagajo-hs@od.myswan.ed.jp,,全日制普通科・総合学科
宮城県,県立,宮城県松島高等学校,宮城郡松島町,仙台,https://matsushima-h.myswan.ed.jp/,matsushima-h@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県東松島高等学校,東松島市,石巻,https://higashi-matsushima.myswan.ed.jp/,higashi-matsushima@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県利府高等学校,宮城郡利府町,仙台,https://rifu-h.myswan.ed.jp/,rifu-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県黒川高等学校,黒川郡大和町,仙台,https://kurokawa.myswan.ed.jp/,kurokawa@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県角田高等学校,角田市,仙台南部,https://kakuko.myswan.ed.jp/,kakuko@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県亘理高等学校,亘理郡亘理町,仙台南部,https://watari-h.myswan.ed.jp/,watari-h@od.myswan.ed.jp,,全日制普通科・食物科
宮城県,県立,宮城県白石高等学校,白石市,仙台南部,https://hakko.myswan.ed.jp/,hakko@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県白石高等学校七ヶ宿校,刈田郡七ヶ宿町,仙台南部,https://sitika.myswan.ed.jp/,sitika@od.myswan.ed.jp,,白石高校分校
宮城県,県立,宮城県白石工業高等学校,白石市,仙台南部,https://shiroishi-kougyou.myswan.ed.jp/,shiroishi-kougyou@od.myswan.ed.jp,,全日制工業科
宮城県,県立,宮城県柴田高等学校,柴田郡柴田町,仙台南部,https://sibata.myswan.ed.jp/,sibata@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県柴田農林高等学校,柴田郡大河原町,仙台南部,https://sibano.myswan.ed.jp/,sibano@od.myswan.ed.jp,,全日制農林科
宮城県,県立,宮城県大河原商業高等学校,柴田郡大河原町,仙台南部,https://ogs.myswan.ed.jp/,ogs@od.myswan.ed.jp,,全日制商業科
宮城県,県立,宮城県大河原産業高等学校,柴田郡大河原町,仙台南部,https://daisan.myswan.ed.jp/,daisan@od.myswan.ed.jp,,全日制産業科（旧柴田農林と大河原商業統合）
宮城県,県立,宮城県大河原産業高等学校川崎校,柴田郡川崎町,仙台南部,https://kawasa-h.myswan.ed.jp/,kawasa-h@od.myswan.ed.jp,,分校（旧柴田農林川崎校）
宮城県,県立,宮城県石巻高等学校,石巻市,石巻,https://sekikou.myswan.ed.jp/,sekikou@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県石巻好文館高等学校,石巻市,石巻,https://koubunkan.myswan.ed.jp/,koubunkan@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県石巻北高等学校,石巻市,石巻,https://ishikita.myswan.ed.jp/,ishikita@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県石巻西高等学校,東松島市,石巻,https://inisi.myswan.ed.jp/,inisi@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県石巻商業高等学校,石巻市,石巻,https://sekisyo.myswan.ed.jp/,sekisyo@od.myswan.ed.jp,,全日制商業科
宮城県,県立,宮城県石巻工業高等学校,石巻市,石巻,https://ishiko.myswan.ed.jp/,ishiko@od.myswan.ed.jp,,全日制工業科
宮城県,県立,宮城県気仙沼高等学校,気仙沼市,気仙沼,https://kesennuma-h.myswan.ed.jp/,kesennuma-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県気仙沼高等学校定時制課程,気仙沼市,気仙沼,https://kesennuma-teiji.myswan.ed.jp/,kesennuma-teiji@od.myswan.ed.jp,,定時制
宮城県,県立,宮城県気仙沼向洋高等学校,気仙沼市,気仙沼,https://kkouyo-h.myswan.ed.jp/,kkouyo-h@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県本吉響高等学校,気仙沼市,気仙沼,https://hibiki-h.myswan.ed.jp/,hibiki-h@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県南三陸高等学校,本吉郡南三陸町,気仙沼,https://msanriku-hs.myswan.ed.jp/,msanriku-hs@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県古川高等学校,大崎市,大崎,https://furuko.myswan.ed.jp/,furuko@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県古川黎明高等学校,大崎市,大崎,https://freimei-h.myswan.ed.jp/,freimei-h@od.myswan.ed.jp,,中高一貫（併設型）
宮城県,県立,宮城県古川工業高等学校,大崎市,大崎,https://furukk-h.myswan.ed.jp/,furukk-h@od.myswan.ed.jp,,全日制工業科
宮城県,県立,宮城県古川工業高等学校定時制課程,大崎市,大崎,https://furuk2-h.myswan.ed.jp/,furuk2-h@od.myswan.ed.jp,,定時制
宮城県,県立,宮城県鹿島台商業高等学校,大崎市,大崎,https://kasimadai-ch.myswan.ed.jp/,kasimadai-ch@od.myswan.ed.jp,,全日制商業科
宮城県,県立,宮城県松山高等学校,大崎市,大崎,https://matuyama-h.myswan.ed.jp/,matuyama-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県岩出山高等学校,大崎市,大崎,https://iwadeyama-h.myswan.ed.jp/,iwadeyama-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県田尻さくら高等学校,大崎市,大崎,https://tajiri-hs.myswan.ed.jp/,tajiri-hs@od.myswan.ed.jp,,全日制総合学科（昼夜開講制）
宮城県,県立,宮城県小牛田農林高等学校,遠田郡美里町,大崎,https://kogotanourin.myswan.ed.jp/,kogotanourin@od.myswan.ed.jp,,全日制農林科
宮城県,県立,宮城県加美農業高等学校,加美郡加美町,大崎,https://kamino-h.myswan.ed.jp/,kamino-h@od.myswan.ed.jp,,全日制農業科
宮城県,県立,宮城県登米高等学校,登米市,登米,https://tome-h.myswan.ed.jp/,tome-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県登米総合産業高等学校,登米市,登米,https://tomesou.myswan.ed.jp/,tomesou@od.myswan.ed.jp,,全日制総合産業科
宮城県,県立,宮城県佐沼高等学校,登米市,登米,https://sanuma.myswan.ed.jp/,sanuma@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県築館高等学校,栗原市,栗原,https://tukiko.myswan.ed.jp/,tukiko@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県迫桜高等学校,栗原市,栗原,https://hakuou.myswan.ed.jp/,hakuou@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県一迫商業高等学校,栗原市,栗原,https://ichisho.myswan.ed.jp/,ichisho@od.myswan.ed.jp,,全日制商業科
宮城県,県立,宮城県岩ヶ崎高等学校,栗原市,栗原,https://iwagasakikou.myswan.ed.jp/,iwagasakikou@od.myswan.ed.jp,,全日制普通科
宮城県,市立,仙台市立仙台高等学校,仙台市青葉区,仙台,https://sites.google.com/g.sendai-c.ed.jp/301-sendai-hs,,,全日制普通科・市立
宮城県,市立,仙台市立仙台工業高等学校,仙台市宮城野区,仙台,https://sites.google.com/g.sendai-c.ed.jp/302-sendaikogyo-hs,,,全日制工業科・市立
宮城県,市立,仙台市立仙台商業高等学校,仙台市泉区,仙台,https://sites.google.com/g.sendai-c.ed.jp/303-sendaisyogyo-hs,sensho@sendai-c.ed.jp,,全日制商業科・市立
宮城県,市立,仙台市立仙台大志高等学校,仙台市宮城野区,仙台,https://www.sendai-c.ed.jp/~taishi/,taishi@sendai-c.ed.jp,,昼夜開講制・市立
宮城県,私立,仙台育英学園高等学校,仙台市宮城野区,仙台,https://www.sendaiikuei.ed.jp/hs/,nyusibu@sendaiikuei.ed.jp,https://www.sendaiikuei.ed.jp/hs/intro/contact.html,多賀城校舎あり
宮城県,私立,東北高等学校,仙台市青葉区,仙台,https://www.tohoku.ed.jp/,,,泉キャンパスあり
宮城県,私立,東北学院高等学校,仙台市宮城野区,仙台,https://www.jhs.tohoku-gakuin.ac.jp/,,,
宮城県,私立,宮城学院高等学校,仙台市青葉区,仙台,https://www.miyagi-gakuin.ac.jp/highschool/,,https://www.miyagi-gakuin.ac.jp/information/contact,女子校
宮城県,私立,聖ウルスラ学院英智高等学校,仙台市若林区,仙台,https://www.st-ursula.ac.jp/high/,,,
宮城県,私立,常盤木学園高等学校,仙台市青葉区,仙台,https://www.tokiwagi.ed.jp/,,,女子校
宮城県,私立,尚絅学院高等学校,仙台市青葉区,仙台,https://sh.shokei.jp/hs/,,,
宮城県,私立,仙台白百合学園高等学校,仙台市泉区,仙台,https://jh.sendaishirayuri.net/,,,女子校
宮城県,私立,東北生活文化大学高等学校,仙台市泉区,仙台,https://www.seibun.ed.jp/,,,
宮城県,私立,聖和学園高等学校,仙台市若林区,仙台,https://highschool.seiwa.ac.jp/,info-hs@seiwa.ac.jp,,薬師堂・三神峯キャンパス
宮城県,私立,仙台城南高等学校,仙台市太白区,仙台,https://sendai-johnan.ed.jp/,,https://sendai-johnan.ed.jp/contact,東北工業大学附属
宮城県,私立,東陵高等学校,気仙沼市,気仙沼,https://www.toryo.ed.jp/,,,
